================================================================================
DAY 13 - RATIO EDGE CASE REVIEW
================================================================================
ADANIGREEN | Mar 2020 | ROCE | Computed=14.20 | Source=96.50 | Difference=82.30 | Category=Formula Discrepancy
ADANIGREEN | Mar 2021 | ROE | Computed=8.27 | Source=14.70 | Difference=6.43 | Category=Version Difference
ADANIGREEN | Mar 2021 | ROCE | Computed=15.88 | Source=96.50 | Difference=80.62 | Category=Formula Discrepancy
ADANIGREEN | Mar 2022 | ROCE | Computed=11.05 | Source=96.50 | Difference=85.45 | Category=Formula Discrepancy
ADANIGREEN | Mar 2023 | ROCE | Computed=12.81 | Source=96.50 | Difference=83.69 | Category=Formula Discrepancy
ADANIGREEN | Mar 2024 | ROCE | Computed=16.50 | Source=96.50 | Difference=80.00 | Category=Formula Discrepancy
ADANIPORTS | Mar 2013 | ROE | Computed=25.63 | Source=18.10 | Difference=7.53 | Category=Version Difference
ADANIPORTS | Mar 2014 | ROCE | Computed=17.92 | Source=12.90 | Difference=5.02 | Category=Version Difference
ADANIPORTS | Mar 2018 | ROCE | Computed=20.19 | Source=12.90 | Difference=7.29 | Category=Version Difference
ADANIPORTS | Mar 2022 | ROE | Computed=11.84 | Source=18.10 | Difference=6.26 | Category=Version Difference
ADANIPORTS | Mar 2023 | ROE | Computed=11.88 | Source=18.10 | Difference=6.22 | Category=Version Difference
ADANIPORTS | Mar 2024 | ROCE | Computed=17.92 | Source=12.90 | Difference=5.02 | Category=Version Difference
ADANIPOWER | Mar 2013 | ROE | Computed=-53.46 | Source=57.10 | Difference=110.56 | Category=Formula Discrepancy
ADANIPOWER | Mar 2013 | ROCE | Computed=5.78 | Source=32.20 | Difference=26.42 | Category=Formula Discrepancy
ADANIPOWER | Mar 2014 | ROE | Computed=-4.45 | Source=57.10 | Difference=61.55 | Category=Formula Discrepancy
ADANIPOWER | Mar 2014 | ROCE | Computed=17.27 | Source=32.20 | Difference=14.93 | Category=Version Difference
ADANIPOWER | Mar 2015 | ROE | Computed=-14.25 | Source=57.10 | Difference=71.35 | Category=Formula Discrepancy
ADANIPOWER | Mar 2015 | ROCE | Computed=18.91 | Source=32.20 | Difference=13.29 | Category=Version Difference
ADANIPOWER | Mar 2016 | ROE | Computed=7.38 | Source=57.10 | Difference=49.72 | Category=Formula Discrepancy
ADANIPOWER | Mar 2016 | ROCE | Computed=23.86 | Source=32.20 | Difference=8.34 | Category=Version Difference
ADANIPOWER | Mar 2017 | ROE | Computed=-205.80 | Source=57.10 | Difference=262.90 | Category=Formula Discrepancy
ADANIPOWER | Mar 2017 | ROCE | Computed=21.42 | Source=32.20 | Difference=10.78 | Category=Version Difference
ADANIPOWER | Mar 2018 | ROE | Computed=-236.56 | Source=57.10 | Difference=293.66 | Category=Formula Discrepancy
ADANIPOWER | Mar 2018 | ROCE | Computed=20.49 | Source=32.20 | Difference=11.71 | Category=Version Difference
ADANIPOWER | Mar 2019 | ROE | Computed=-12.76 | Source=57.10 | Difference=69.86 | Category=Formula Discrepancy
ADANIPOWER | Mar 2019 | ROCE | Computed=19.45 | Source=32.20 | Difference=12.75 | Category=Version Difference
ADANIPOWER | Mar 2020 | ROE | Computed=-35.10 | Source=57.10 | Difference=92.20 | Category=Formula Discrepancy
ADANIPOWER | Mar 2020 | ROCE | Computed=17.91 | Source=32.20 | Difference=14.29 | Category=Version Difference
ADANIPOWER | Mar 2021 | ROE | Computed=9.69 | Source=57.10 | Difference=47.41 | Category=Formula Discrepancy
ADANIPOWER | Mar 2021 | ROCE | Computed=21.02 | Source=32.20 | Difference=11.18 | Category=Version Difference
ADANIPOWER | Mar 2022 | ROE | Computed=26.61 | Source=57.10 | Difference=30.49 | Category=Formula Discrepancy
ADANIPOWER | Mar 2022 | ROCE | Computed=20.67 | Source=32.20 | Difference=11.53 | Category=Version Difference
ADANIPOWER | Mar 2023 | ROE | Computed=35.91 | Source=57.10 | Difference=21.19 | Category=Formula Discrepancy
ADANIPOWER | Mar 2023 | ROCE | Computed=18.59 | Source=32.20 | Difference=13.61 | Category=Version Difference
ADANIPOWER | Mar 2024 | ROE | Computed=48.28 | Source=57.10 | Difference=8.82 | Category=Version Difference
AMBUJACEM | Dec 2012 | ROE | Computed=14.69 | Source=9.24 | Difference=5.45 | Category=Version Difference
AMBUJACEM | Dec 2012 | ROCE | Computed=28.80 | Source=12.80 | Difference=16.00 | Category=Version Difference
AMBUJACEM | Dec 2013 | ROCE | Computed=18.25 | Source=12.80 | Difference=5.45 | Category=Version Difference
AMBUJACEM | Dec 2014 | ROE | Computed=14.77 | Source=9.24 | Difference=5.53 | Category=Version Difference
AMBUJACEM | Dec 2014 | ROCE | Computed=19.79 | Source=12.80 | Difference=6.99 | Category=Version Difference
AMBUJACEM | Dec 2017 | ROCE | Computed=19.64 | Source=12.80 | Difference=6.84 | Category=Version Difference
AMBUJACEM | Dec 2018 | ROCE | Computed=18.66 | Source=12.80 | Difference=5.86 | Category=Version Difference
AMBUJACEM | Dec 2019 | ROCE | Computed=19.76 | Source=12.80 | Difference=6.96 | Category=Version Difference
AMBUJACEM | Dec 2020 | ROCE | Computed=22.15 | Source=12.80 | Difference=9.35 | Category=Version Difference
AMBUJACEM | Dec 2021 | ROE | Computed=14.64 | Source=9.24 | Difference=5.40 | Category=Version Difference
AMBUJACEM | Dec 2021 | ROCE | Computed=24.61 | Source=12.80 | Difference=11.81 | Category=Version Difference
APOLLOHOSP | Mar 2016 | ROE | Computed=7.05 | Source=13.81 | Difference=6.76 | Category=Version Difference
APOLLOHOSP | Mar 2017 | ROE | Computed=3.95 | Source=13.81 | Difference=9.86 | Category=Version Difference
APOLLOHOSP | Mar 2018 | ROE | Computed=1.85 | Source=13.81 | Difference=11.96 | Category=Version Difference
