id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
16194,APOLLOHOSP,Mar 2022,7.56,14.93,19.7,0.72,6.75,1.11,949.0,5.09,73.0,522.0,16.0,4068.0,1696.0,15.11,53.27,35.47,3.0
16529,GRASIM,Mar 2013,13.54,21.23,19.22,0.49,20.83,0.63,-1445.0,20.38,57.0,1411.0,8.0,9550.0,4242.0,,,,3.0
16512,GAIL,Mar 2022,13.26,16.34,19.19,0.14,89.53,0.96,3930.0,5.92,18.0,127.0,36.0,9216.0,9420.0,13.83,29.53,29.2,4.0
16769,JINDALSTEL,Mar 2022,13.22,30.32,18.99,0.38,7.24,0.67,13717.0,4.56,56.0,464.0,5.0,13502.0,16048.0,18.82,,,3.0
16217,ATGL,Mar 2024,14.93,24.67,18.66,0.43,10.5,0.68,,,6.0,36.0,4.0,1557.0,,21.09,23.88,24.57,3.0
16436,DABUR,Mar 2024,14.6,19.35,18.36,0.14,23.24,0.82,1042.0,7.83,10.0,59.0,53.0,1365.0,2013.0,7.81,4.6,4.56,4.0
17106,SIEMENS,Sep 2024,12.22,13.96,17.7,0.02,67.15,0.88,1168.0,2.26,76.0,431.0,16.0,279.0,1670.0,11.19,19.85,19.64,3.0
16628,HINDALCO,Mar 2022,7.04,85.47,17.56,0.82,133.06,0.88,10065.0,3.47,61.0,153.0,6.0,64486.0,16838.0,14.25,48.8,50.12,3.0
17195,TECHM,Mar 2023,9.11,14.57,17.39,0.1,26.77,1.16,5346.0,0.42,50.0,270.0,91.0,2740.0,5572.0,11.61,5.11,5.09,3.0
16566,HAVELLS,Mar 2024,6.84,10.12,17.07,0.04,25.36,1.5,335.0,8.7,20.0,124.0,44.0,303.0,1953.0,13.04,10.03,9.0,3.0
16963,ONGC,Mar 2024,9.66,17.39,16.94,0.45,11.36,0.83,42060.0,9.67,39.0,275.0,31.0,153181.0,99263.0,7.0,10.97,10.2,3.0
16677,ICICIPRULI,Mar 2019,2.75,98.7,16.58,0.0,50.34,0.25,3818.0,18.23,8.0,80.0,40.0,0.0,11377.0,13.63,-6.11,-6.17,2.0
17050,SBILIFE,Mar 2020,3.25,3.08,16.26,0.0,,0.26,2313.0,38.78,14.0,162.0,0.0,0.0,19299.0,13.36,11.78,11.84,2.0
16470,DMART,Mar 2019,4.51,8.16,16.14,0.13,35.77,2.86,-151.0,4.79,14.0,309.0,0.0,700.0,807.0,33.68,41.15,36.08,3.0
16885,MARUTI,Mar 2024,9.51,13.13,15.75,0.0,117.91,1.23,4936.0,8.36,429.0,2835.0,29.0,119.0,16801.0,10.51,12.01,11.14,3.0
16602,HDFCLIFE,Mar 2021,1.9,98.27,15.75,0.07,157.97,0.4,751.0,12.52,7.0,73.0,30.0,600.0,9703.0,31.57,10.75,11.84,2.0
16669,ICICIGI,Mar 2024,9.37,87.42,15.72,0.0,160.03,0.32,486.0,9.38,39.0,275.0,28.0,35.0,2407.0,12.91,12.84,11.14,2.0
16410,CIPLA,Mar 2024,16.12,75.59,15.55,0.02,35.34,0.79,1152.0,11.57,51.0,351.0,25.0,559.0,4134.0,9.51,22.73,21.83,4.0
16939,NTPC,Mar 2013,17.6,25.38,15.49,0.87,9.2,0.4,-337.0,23.55,13.0,174.0,38.0,70419.0,16508.0,,,,3.0
16525,GODREJCP,Mar 2022,14.52,19.62,15.43,0.15,20.39,0.76,607.0,6.88,17.0,119.0,0.0,1704.0,1451.0,5.78,6.39,5.51,3.0
16157,ADANIPORTS,Mar 2024,30.34,58.36,15.35,0.94,5.95,0.23,8250.0,25.34,38.0,265.0,16.0,49470.0,15018.0,19.58,14.91,14.87,4.0
17077,SHREECEM,Mar 2021,17.23,30.17,15.18,0.14,18.0,0.63,1603.0,19.55,646.0,5787.0,9.0,2230.0,4254.0,19.72,15.38,14.52,4.0
16260,BAJAJHLDNG,Mar 2015,387.21,92.37,15.15,0.0,,0.04,332.0,88.55,182.0,5375.0,19.0,0.0,796.0,,,,2.0
17118,SUNPHARMA,Mar 2024,19.82,26.84,15.09,0.05,58.33,0.57,11372.0,1.57,40.0,288.0,34.0,3274.0,12135.0,10.78,24.54,29.46,4.0
