id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,peer_group_name,is_benchmark,chart_file
549,ICICIBANK,Mar 2024,7.526733988230175,-14152.0,0.4910114583377198,,43.353915277721725,1.3009,0.0675,75.02142979598834,144737.0,63.0,18.2309,16.0,1651008.0,157284.0,,,,,2.0,Private Banks,False,ICICIBANK_radar.png
561,ICICIGI,Mar 2024,3.0569485470907467,2577.0,0.4432157460552746,,0.019505764289653872,160.0268,0.3236,67.06866766013003,1921.0,39.0,2.4757,28.0,35.0,2407.0,,,,,,No peer group assigned,False,ICICIGI_radar.png
573,ICICIPRULI,Mar 2024,1.1266057566806347,-1829.0,0.27498326097301123,,0.7331476922663007,31.0215,0.302,66.81744451331285,7420.0,6.0,0.7637,10.0,1200.0,-7315.0,,,,,30.0,Life Insurance,False,ICICIPRULI_radar.png
1184,INDIGO,Mar 2024,3.6248311236289528,16331.0,18.905625576391024,,0.12510593647846968,22.6126,56.3863,72.96219124609318,11759.0,212.0,1.9062,0.0,17.0,21183.0,,,,,,No peer group assigned,False,INDIGO_radar.png
585,INDUSINDBK,Mar 2024,5.390304778915069,2978.0,0.4122643376609157,,46.31408316181713,1.8795,0.0888,55.230188977831695,625.0,115.0,8.0716,14.0,432404.0,-16843.0,,,,,5.0,Private Banks,False,INDUSINDBK_radar.png
597,INFY,Mar 2024,4.822422202376863,24.0,0.7394649406869949,,0.6383093210648801,87.5234,1.1298,80.01292381542682,5093.0,63.0,4.2548,,8359.0,25210.0,,,,,11.0,IT Services,False,INFY_radar.png
609,IOC,Mar 2024,2.184516040392938,10.0,0.6076582627627185,,4.863661433740937,10.2823,1.6084,92.88267021851799,31464.0,30.0,1.3318,40.0,132628.0,71099.0,,,,,34.0,Oil & Gas,False,IOC_radar.png
619,IRCTC,Mar 2024,6.869547296833138,34.0,0.836530241842093,,0.12510593647846968,82.7368,0.701,67.18801513932664,215.0,14.0,2.0187,47.0,60.0,882.0,,,,,,No peer group assigned,False,IRCTC_radar.png
628,IRFC,Mar 2024,6.42073687344004,100.0,0.38678732803018495,,56.35417087049517,1.3195,0.0549,71.96125492885308,8.0,5.0,0.3763,31.0,412039.0,7914.0,,,,,,No peer group assigned,False,IRFC_radar.png
640,ITC,Mar 2024,7.616038103089005,37.0,0.6986175037583853,,0.027577115030200307,362.9625,0.7723,79.10627860053542,1563.0,16.0,5.9701,84.0,303.0,17179.0,,,,,48.0,FMCG,False,ITC_radar.png
