id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
3386,APOLLOHOSP,Mar 2018,0.73,9.72,1.85,1.05,2.8,0.96,132.0,4.91,8.0,522.0,59.0,3427.0,537.0,12.72,23.16,19.97,1.0,8243.0,60.0,801.0,Healthcare
3379,AMBUJACEM,Mar 2024,14.29,19.3,11.43,0.02,28.26,0.51,-3295.0,26.96,16.0,205.0,12.0,699.0,5646.0,3.92,6.82,3.4,1.0,33160.0,4738.0,6400.0,Materials
4354,TATAMOTORS,TTM,7.68,13.75,,,7.59,,,,99.0,275.0,,,,11.01,,,1.0,440061.0,33816.0,60497.0,Consumer Discretionary
4352,TATAMOTORS,Mar 2023,0.78,9.2,5.94,2.96,3.76,1.03,19971.0,4.46,7.0,275.0,32.0,134113.0,35388.0,11.01,,,1.0,345967.0,2690.0,31816.0,Consumer Discretionary
4351,TATAMOTORS,Mar 2022,-4.06,8.88,-25.38,3.29,2.91,0.85,9839.0,1.6,-34.0,275.0,0.0,146449.0,14283.0,11.01,,,1.0,278454.0,-11309.0,24720.0,Consumer Discretionary
4350,TATAMOTORS,Mar 2021,-5.36,12.93,-24.25,2.57,2.61,0.73,3329.0,10.28,-41.0,275.0,0.0,142131.0,29001.0,11.01,,,1.0,249795.0,-13395.0,32287.0,Consumer Discretionary
4349,TATAMOTORS,Mar 2020,-4.59,6.89,-18.98,1.98,2.5,0.82,-6482.0,12.68,-39.0,275.0,0.0,124788.0,26633.0,11.01,,,1.0,261068.0,-11975.0,17987.0,Consumer Discretionary
3509,BHARTIARTL,Mar 2018,2.64,36.4,3.14,1.6,3.41,0.33,1914.0,33.81,2.0,153.0,194.0,111334.0,29854.0,12.17,,,1.0,82639.0,2184.0,30079.0,Communication Services
3508,BHARTIARTL,Mar 2017,4.44,37.01,6.29,1.59,3.88,0.41,-2400.0,32.14,7.0,153.0,11.0,107288.0,28280.0,12.17,,,1.0,95468.0,4241.0,35330.0,Communication Services
3507,BHARTIARTL,Mar 2016,7.14,35.2,10.32,1.51,4.55,0.43,13851.0,14.6,11.0,153.0,9.0,100646.0,27942.0,12.17,,,1.0,96532.0,6893.0,33984.0,Communication Services
4226,RECLTD,Mar 2013,28.11,97.33,21.87,6.15,1.64,0.1,-19907.0,1.11,15.0,279.0,21.0,107762.0,-20059.0,11.45,24.52,24.57,1.0,13634.0,3833.0,13270.0,Financials
4225,POWERGRID,TTM,34.3,85.64,,,4.64,,,,17.0,99.0,,,,3.95,7.28,7.21,1.0,45812.0,15712.0,39235.0,Energy
4217,POWERGRID,Mar 2017,29.0,87.36,14.94,2.39,3.77,0.13,-2261.0,92.76,8.0,99.0,31.0,118988.0,21575.0,3.95,7.28,7.21,1.0,25697.0,7451.0,22450.0,Energy
